Term,Source,Category,Definition,
Kinematic waves,2-Molnia,Glaciers,Refers to a wave of ice moving downglacier propagated by its increased thickness. The wave of ice may move at two to six times the velocity of surrounding thinner ice.,
Land ice,AMS,Ice general,"Any part of the earth's seasonal or perennial ice cover that has formed over land as the result, principally, of the freezing of precipitation; opposed to sea ice formed by the freezing of seawater.  Thus, an iceberg or tabular iceberg is land ice as well as its parent glacier, ice sheet, or ice shelf. The two major concentrations of land ice are the ice sheets of Greenland and Antarctica. Glaciers and ice caps are the other important forms.",
Lobe,PhysicalGeography.net,Glaciers,"A tongue-like extension of some material. For example, the ice lobe of an alpine glacier.",
Lobed,GLIMS Manual,Glaciers,"Initial stage of tongue formation (occurs on both micro and macro scales); In many cases part of an ice sheet, cap, field; Large or small scale radial ice margin; Is not an outlet or a valley glacier; If it terminates into sea, use class 'calving and lobed'; Part of an ice sheet or ice cap, disqualified as an outlet glacier (WGMS 1970, 1998); Tongue like form of an icefield or ice cap. (WGMS 1977) ",
margin,IACS-UNESCO,Glaciers,"The line separating the glacier from ice-free terrain. See divide, glacier outline, boundary, terminus.",
Marine ice,IACS-UNESCO,Ice Sheets and shelves,"Ice formed by the freezing of sea water at the base of an ice shelf. The formation of marine ice can contribute substantially to ice-shelf mass balance (see basal accumulation), and marine ice can be a substantial component of the ice shelf itself. See also accreted ice.",
Melt extent,IACS-UNESCO,Glaciers,"The spatial extent (dimension [L2]) of melting on the surface of the glacier. The melt extent can be measured by microwave remote sensing of the brightness temperature with a passive-microwave sensor, or equivalent analysis of radar or scatterometer imagery. The spatial resolution of passive-microwave radiometers and scatterometers being low at present (several km or coarser), the method is mainly exploited on ice sheets and large ice caps.",
Meltwater,IACS-UNESCO,Snow,"The liquid resulting from melting of ice, firn or snow.",
Meltwater conduit,1-NSIDC,Glaciers,"A channel within, underneath, on top of, or near the side of a glacier that drains meltwater out of the glacier; usually kept open by the frictional heating of flowing water that melts the ice walls of the conduit.",
Meltwater discharge,IACS-UNESCO,Snow,"The rate of flow through a cross section, usually a stream cross section, of water produced by melting of glacier ice, firn or snow that is removed from the glacier in surface, englacial or subglacial flows. See runoff. The measured discharge may include a contribution from rainfall on the glacier, and typically includes contributions from unglacierized parts of the drainage basin. Meltwater discharge is always reported as volume per unit time.",
Meltwater runoff,IACS-UNESCO,Snow,"The component of runoff (in sense 2) produced by melting of glacier ice, firn or snow that is removed in surface, englacial or subglacial flows. Meltwater runoff is not the same as surface ablation by melting, because surface meltwater may refreeze in the glacier (see refreezing, internal accumulation), and part of the meltwater runoff may originate from basal ablation or internal ablation. Nor is it usually the same as the total runoff, which is likely to include contributions from unglacierized parts of the drainage basin, and may include a contribution from rainfall on the glacier.",
Mid-range altitude,IACS-UNESCO,Glaciers,"The average of the minimum altitude and maximum altitude of the glacier. The mid-range altitude is of interest in itself as a measure of the vertical location of the glacier, but has also been shown to be (to within the accuracy of measurements) an unbiased estimator of the Balanced-budget ELA. See glaciation level.",
milk,SwissEdu,Freshwater ice,"Meltwater from a glacier, which commonly has a milky appearance from suspended fine sediment.",
Perfectly plastic solid,2-Molnia,Ice general,"A solid that does not deform until it reaches a critical value of stress, after which it will yield infinitely. Some glaciologists say that ice is a perfectly plastic substance. That is, brittle and capable of cracking like a solid, yet deformable and capable of flowing at other stresses.",
Proglacial,IACS-UNESCO,Glaciers,"Pertaining to an object in physical contact with, or close to, the glacier margin.",
Range,IACS-UNESCO,Glaciers,"(1) The distance to a target such as a glacier surface from an Active sensor such as a sonic ranger or a radar. (2) The cross-track coordinate in the coordinate frame of an airborne or orbiting radar. See azimuth. (3) Of an Active sensor, to measure the distance to, that is, to 'range to', a target. Senses 2 and 3 have evolved from sense 1, which originated in gunnery but has become common in several branches of remote sensing.",
Rapid dynamical change,IPCC WGI AR5 2013,Glaciers,"Changes in glacier or ice sheet mass controlled by changes in flow speed and discharge rather than by accumulation or ablation. This can result in a rate of mass change larger than that due to any imbalance between accumulation and ablation. Rapid dynamical change may be initiated by a climatic trigger, such as incursion of warm ocean water beneath an ice shelf, or thinning of a grounded tidewater terminus, which may lead to reactions within the glacier system, that may result in rapid ice loss. See also Mass balance/budget (of glaciers or ice sheets).",
Regelation,1-NSIDC,Glaciers,Motion of an object through ice by melting and freezing that is caused by pressure differences; this process allows a glacier to slide past small obstacles on its bed.,
Regelation ice,SwissEdu,Ice general,Ice which is formed from meltwater and basal debris as a result of changes of pressure beneath a glacier.,
remainie,1-NSIDC,Glaciers,"A glacier that is reconstructed or reconstituted out of other glacier material; usually formed by seracs falling from a hanging glacier, then re-adhering; also called reconstituted, reconstructed or regenerated glacier.",
Remnant,2-Molnia,Glaciers,"An isolated melting mass of glacier ice, that has become detached from its source and the remainder of the glacier. Some remnants cover many square miles.",
Rockslide,2-Molnia,Glaciers,"Several landslides generated by the Great Alaskan Earthquake, Good Friday 1964, fell onto the surface of the so-named glacierin the Chugach Mountains, Alaska.",
Run-out distance,SwissEdu,Glaciers,The distance an ice avalanche travels from its source.,
Runoff,IACS-UNESCO,Glaciers,"(1) Discharge of water divided by the area of the drainage basin contributing water to the measurement cross section, expressed in specific units such as mm w. E. D-1 or kg m-2 s-1. (2) The flux of water leaving the glacier. Sense 2 is common in mass-balance studies, especially in studies of ice-sheet mass balance. See mass-balance units; it is useful to have one word for total flux and a different word for specific flux, so the distinction between discharge and runoff is to be encouraged. Runoff includes meltwater discharge but also water from other sources than melt, such as rainfall.",
Runoff limit,IACS-UNESCO,Snow,"The altitude above which all rainfall and surface melt, if any, refreezes in the snow or firn, and below which part or all of it runs off the glacier. See zone.",
Sedimentary stratification,SwissEdu,Glaciers,The annual layering that forms from the build-up of snow in the accumulation area of a glacier. It is preserved in firn and sometimes in glacier ice.,
Shear zone,SwissEdu,Glaciers,"A zone of severe deformation, especially where a fast-flowing ice stream (q.v.) moves past relatively slow-moving ice. The deformation is characterised especially by intense crevassing.",
Shelf ice,IACS-UNESCO,Glaciers,"Ice forming part of an ice shelf, whether glacier ice, marine ice or ice originating from accumulation on the surface of the ice shelf.",
Shore ice,NOAA Hydro,Ice Sheets and shelves,An ice sheet in the form of a long border attached to the bank or shore; border ice.,
snout,1-NSIDC,Glaciers,The lowest end of a glacier; also called glacier terminus or toe.,
sole,1-NSIDC,Glaciers,The bottom of the ice of a glacier.,
Sorge's law,IACS-UNESCO,Snow,"The proposition that a glacier with a constant accumulation rate and no melting has a constant profile of density as a function of depth beneath the surface; by extension, and more loosely, the proposition that an unchanging density profile is sustained by the climatic mass balance. It follows from Sorge's law that a thickness change can be converted to an equivalent change of mass by multiplying by the density of glacier ice. This approach has been used in most mass-balancecalculations by geodetic methods. Sorge's law was originally introduced to describe densification of high polar snowpacks where melt is negligible. When Sorge's law is invoked in its looser sense, the constancy of the density profile is usually assumed rather than measured. The name, given by Bader (1954) in recognition of Ernst Sorge's observations in Greenland in 19301931, is pronounced as two syllables, the first stressed, with s as English z and with hard g.",
Stagnant ice,IACS-UNESCO,Glaciers,Any part of a glacier that does not flow at a detectable rate; a synonym of dead ice.,
Stagnation,2-Molnia,Glaciers,"The in-situ melting of glacier ice. Many glaciers have stagnant termini, covered by thick sediment debris. Some support vegetation, including mature forests.",
Strain,IACS-UNESCO 2009,Precipitation,The ratio of change in dimension to the original dimension. A material is said to be strained when a stress acting on it distorts it.,
Strand crack,1-NSIDC,Ice Sheets and shelves,"A fissure at the junction between an inland ice sheet, ice piedmont or ice rise and an ice shelf, the latter being subject to the rise and fall of the tide.",
Stratified drift,PhysicalGeography.net,Misc,A type of glacial drift that has been partially sorted by glaciofluvial meltwater.,
Subglacial,IACS-UNESCO,Glaciers,Pertaining to the glacier bed or to the material below the bed.,
Subglacial debris,SwissEdu,Glaciers,Debris which has been released from ice at the base of a glacier. Individual stones usually show signs of rounding as a result of abrasion at the contact between ice and bedrock.,
Subglacial meltwater channel,SwissEdu,Glaciers,"A steep, often vertically sided valley cut into bedrock by a subglacial stream under high pressure. It may have a profile with uphill sections, since a sufficient head in the glacier can force water to flow up slope.",
Subglacial permafrost,1-NSIDC,Glaciers,Permafrost beneath a glacier.,
Subglacial stream,SwissEdu,Glaciers,"A stream that flows beneath a glacier, and which usually cuts into the ice above to form a tunnel.",
Subglacial talik,1-NSIDC,Glaciers,A layer or body of unfrozen ground beneath a glacier in an area with permafrost.,
Submergence velocity,IACS-UNESCO,Glaciers,"The vertical component, when it is directed downward, of the glacier-flow velocity vector at the glacier surface, at a point fixed in space. When the component is directed upward, it is called the emergence velocity. The submergence velocity is related through the continuity equation to the climatic-basal mass balance and the rate of thickness change. The component is typically upward in the ablation zone and downward in the accumulation zone.",
Surge,2-Molnia,Glaciers,"A short-lived, frequently large-scale, increase in the rate of movement of the ice within a glacier. Ice velocities may increase 10 to 100 times above normal flow rates. In some surges, the terminus of a glacier rapidly advances. Although not all glaciers surge, those that do often surge with some sort of a periodicity.",
Surge front,SwissEdu,Glaciers,"The zone of intense compression between surging ice and non-surging ice. This is commonly marked by a bulge and a transition from heavily crevassed to crevasse-free ice. The surge front rapidly moves through the glacier, and if it reaches the snout, the glacier advances.",
Terminus,1-NSIDC,Glaciers,"The lowest end of a glacier, also called the glacier toe or glacier snout.",
Thickness,IACS-UNESCO,Snow,"The vertical distance between any two surfaces, and in particular between the glacier face and the summer surface, or the glacier surface and the bed. Glacier thickness is measured ideally by interpolating from a dense array of point measurements, constructed for example from ground-penetrating radar traverses. However the measurement density is often less than ideal, as when the array consists of a single traverse or even just a small number of boreholes. On most glaciers there are no thickness measurements at all and the thickness must be estimated, for example by volume-area scaling or as a function of surface slope and estimated basal shear stress. The definition of thickness as a vertical distance is adopted almost invariably in studies of mass balance, but not in all branches of cryospheric science. For example Fierz et al. (2009) define thickness as the coordinate normal to the slope, measured from the base of a layer of snow.",
Thickness change,IACS-UNESCO,Snow,"The change in the thickness of the glacier at a defined horizontal location. Thickness can change at a point due to ablation and accumulation at the surface and bottom of the glacier, compaction of snow and firn, or a non-zero emergence velocity or submergence velocity. Thickness change is often used interchangeably with elevation change, but the two are not necessarily the same. For example, elevation can change due to glacial isostatic adjustment or vertical tectonic motions, without a change in glacier thickness. The thickness change at a point is not equivalent to the climatic-basal mass balance at that point because the thickness change may be due in part to emergence or submergence. Thickness change at a point is therefore not a direct indicator of the local climate. The glacier-wide mean thickness change is the volume change of the entire glacier divided by the mean glacier area during the time span of the measurements: 2(h V VS S 21)/(21) , where V is volume, S is area, and subscripts 1 and 2 refer to measurements at an earlier and later time, respectively. The quantity 21( ) V V V is the volume change. Usually the two volumes are not known separately, and: V is obtained from measurements of by geodetic methods. The mean thickness change, if multiplied by the density of the mass gained or lost, is equal to the glacier-wide mass balance over the period of the thickness change. The mean thickness change differs from the change of mean thickness, which is V2/S2  V1/S1.",
Thomson crystal,1-NSIDC,Snow,"A large ice crystal found in deep, stagnant water-filled cavities of a glacier.",
Thrust,SwissEdu,Glaciers,"A low-angle fault, usually formed where the ice is under compression. Thrusts commonly extend from the bed and are associated with debris and overturned folds.",
Tidewater instability,IACS-UNESCO,Sea ice,"Unsteady, perhaps quasi-periodic, behaviour (Meier and Post 1987) of a tidewater glacier that undergoes alternating episodes of slow advance and rapid retreat. The conditions permitting advance to the advanced position in the first place, and the triggers for subsequent unstable retreat, are both poorly understood, although they may involve variations in basal water pressure and probably involve variations of the climatic mass balance. Once retreat has begun, however, observation and simulation (Schoof 2007) agree that, if the bed is grounded below sea level but has a slope opposed to that of the surface, the retreat will continue until the grounding line reaches a part of the bed that slopes in the same direction as the surface. During this unstable retreat, enhanced calving leads to a positive feedback in which accelerated flow and dynamic thinning extend far upglacier from the part that is grounded below sea level. Mass loss is far greater than, and essentially independent of, the climatic mass balance.",
toe,1-NSIDC,Glaciers,The lowest end of a glacier; also called glacier snout or terminus.,
Tongue,1-NSIDC,Freshwater ice,A projection of the ice edge up to several km in length caused by wind and current; usually forms when a valley glacier moves very quickly into a lake or ocean.,
Tongue activity ,GLIMS Manual,Glaciers,Uncertain: unknown or not measured; Marked retreat: more than 20 m per year retreat; Slight retreat: 20m per year retreat; Stationary: Stationary; Slight advance: 20m per year advance; Marked advance: more than 20m per year advancing; Possible surge: possible surge; Known surge: known surge; Oscillating: oscillating; Downwasting: stationary but rapidly losing mass through melting.,
"tongue, Floating ",IACS-UNESCO,Freshwater ice,"The terminal part of a glacier, the weight of which is partially or entirely supported by lake or seawater. Lateral stress from valley walls, and possibly from ice rises and other grounded parts of the glacier, supports a significant part of the weight of the floating ice, in which respect floating tongues generally differ from ice shelves.",
"tongue, Ice",AMS,Glaciers,"Any narrow extension of a glacier or ice shelf, such as a projection floating in the sea or an outlet glacier of an ice cap.",
Tuya,2-Molnia,Glaciers,"A volcano that erupted under a glacier. Because volcanic activity in western Canada was contemporaneous with the ebb and flow of Cordilleran glaciations, many of the volcanoes display ice contact features. Mount Garibaldi itself is a supraglacial volcano which erupted onto a regional ice sheet. Others, such as Hoodoo Mountain, were contained within basins thawed in the ice and assumed the flat-topped form of tuyas. Still others, such as the subglacial mounds of the Clearwater Field, were erupted under glacial ice to form piles of pillow lava and hyaloclastite.",
Unconformity,SwissEdu,Glaciers,"A discontinuity in the annual layering in firn or ice, resulting from a period when ablation cuts across successive layers.",
