Term,Source,Category,Definition,
"mass balance, Point ",IACS-UNESCO,Snow,"Mass balance at a particular location on the glacier, for example at an ablation stake or a snow pit. The point referred to is at the top of a vertical column through the glacier. Most measurements of point mass balance are actually measurements of surface mass balance. That is, they exclude the internal mass balance and basal mass balance, which are either assumed to be negligible or corrected for later, and the flux divergence of the column. In the absence of an overriding reason for a different notation, point balances are indicated by lower-case letters, for example bw for the winter balance, while glacier-wide balances are denoted by upper-case letters, for example Bw.",
"mass balance, Specific ",IACS-UNESCO,Glaciers,"Mass balance expressed per unit area, that is, with dimension [M L-2] or [M L-2 T-1]; see specific. The prefix 'specific' is not necessary in general. The units in which a quantity is reported make clear whether or not it is specific. Specific mass balance may be reported for a point on the surface, a column of unit cross-section, or a larger volume such as an entire glacier or a collection of glaciers. In the latter two cases the term 'mean specific mass balance' has been used, although the adjective 'mean' is also not necessary. The definition of 'specific' apparently offered by Meier (1962) has led to some confusion. He wrote... Quantities measured at a point will first be discussed. [They] should all be prefaced by the word specific ...Specific budget terms have dimensions of [length] or [length]/[time]. The confusion arises because of the primacy given by Meier to water-equivalent dimensions ('[length]'). The adjective 'specific' indicates that the quantity has dimension [M L-2] or [M L-2 T-1], not that it is being measured at a point. The adjective 'point', as in point mass balance, should be used when clarity is needed. The unit of area lies in the horizontal plane, not a plane parallel to the glacier surface. For mass-balance purposes this rule applies even when the surface is vertical. For example, at a calving front the frontal ablation is equal to the mass of the entire volume lost by calving, melting and sublimation. If quoted as a specific quantity it is divided by the horizontal area over which the balance is to be stated, such as that of the entire glacier for a glacier-wide mass balance. The glaciological usage is not that which prevails in some other sciences, where often a specific quantity is either a dimensionless ratio of the value of a property of a given substance to the value of the same property of some reference substance, or is a quantity expressed per unit mass.",
"mass balance, Surface ",IACS-UNESCO,Ice general,"The sum of surface accumulation and surface ablation. This is the sense in which the term is understood in descriptions of measurements by the glaciological method, in which the internal mass balance is treated separately. Recently, in estimates of ice-sheet mass balance by modelling, the term has been extended to include internal accumulation. This extended meaning is discouraged. The unambiguous term climatic mass balance is recommended for the sum of the surface mass balance and the internal mass balance.",
"mass balance, Total ",IACS-UNESCO,Misc,"The sum of the climatic-basal mass balance and frontal ablation, or equivalently the sum of accumulation and ablation; a synonym of mass balance. The adjective 'total' was formerly a technical term in the stratigraphic system (Anonymous 1969; Appendix: A). It is now needed only when it is important to emphasize that all the components of the mass balance are being studied.",
"mass balance, Winter ",IACS-UNESCO,Misc,The sum of accumulation and ablation over the winter season.,
Mass budget,IACS-UNESCO,Misc,"A synonym of mass balance. Mass budget is a more correct term than mass balance, but is used less often. While water balance and energy balance refer to equations in which the change in storage is only one of the terms, common glaciological usage equates mass balance with the change in storage (in other words, with the mass imbalance). It is unlikely that this usage will change.",
Mass flux,IACS-UNESCO,Glaciers,"1 The horizontal rate of flow of mass through a plane normal to the direction of the horizontal velocity vector. Depending on the context, the flux may be through an element of area at a given position in the vertical plane, through a unit of width extending from the glacier bed to the surface, or through an entire glacier cross section. 2 The vertical rate of flow of mass at the glacier surface or bed. In sense 2, the flux at the surface is equal to the sum of surface accumulation and surface ablation, or in other words to the surface mass balance. Equivalently the flux at the bed is equal to the basal mass balance.",
Mass turnover,IACS-UNESCO,Glaciers,"The renewal of the mass of a glacier by mass-balance processes. Mass turnover is measured most usefully by the mass-turnover time, which is the mass of the glacier divided by the mass-balance amplitude, with the latter expressed as an Annual rate. Mass-turnover times range from several decades for glacierets to tens of thousands of years for ice sheets. See response time.",
Mass-balance amplitude,IACS-UNESCO,Misc,"One half of the difference between winter mass balance and summer mass balance, (Bw  Bs)/2. Summer mass balance is generally negative because ablation dominates in the summer season. A more general definition, (Ca  Aa)/2 or one half of the Annual exchange, could be offered in terms of Annual accumulation and Annual ablation, but these quantities are so seldom measured that a calculation from seasonal balances is more practicable. The balance amplitude tends to be large in maritime climates, in which accumulation is large, and small in continental climates, in which accumulation is small. In consequence the mean balance amplitude is well correlated with the interannual variability of Annual mass balance, and, when it can be estimated from climatological information, has been used as an estimator of the magnitude of the Annual mass balance itself.",
Mass-balance gradient,IACS-UNESCO,Misc,"The rate of change of mass balance with altitude, that is, the derivative db/dz of the mass-balance profile b (z). If mass balance varies linearly with altitude, the mass-balance gradient will be constant with z; if not, the gradient will vary with z. The mass-balance gradient at the equilibrium-line altitude is called the activity index.",
Mass-balance index,IACS-UNESCO,Misc,The rate of change db/dx of mass balance with horizontal distance from the upper end of a flowline. The term has also been used informally for a variety of measures of the mass balance.64,
Mass-balance profile,IACS-UNESCO,Misc,The variation b (z) of mass balance with altitude.,
Mass-balance rate,IACS-UNESCO,Ice general,"The change of mass per unit of time as the interval of mass change approaches zero, obtained in practice by dividing the mass balance by the duration over which it is measured or modelled. See mass-balance units. The qualifiers 'instantaneous' and 'average' can be used to distinguish between the rate in the mathematical sense and the rate as obtained in practice. For example, the average mass-balance rate",
Mass-balance ratio,IACS-UNESCO,Misc,"The ratio of the mass-balance gradient in the ablation zone to the mass-balance gradient in the accumulation zone, each of these gradients being assumed constant and that in the accumulation zone also being assumed non-zero.",
Mass-balance sensitivity,IACS-UNESCO,Glaciers,"The change in mass balance due to a change in a climatic variable such as air temperature or precipitation. Sensitivities to temperature and precipitation are often expressed as changes in response to a 1 K warming or a 10% precipitation increase, resulting in a negative sensitivity to temperature and a positive sensitivity to precipitation. Sensitivities are generally derived from mass-balance modelling, that is, from the difference in mass balance between model runs with and without climate perturbation, but they have also been estimated from mass-balance and climate observations. Mass balance does not vary linearly with the climate in general. That is, d: B/d: T and d: B/d: P are not constant, but they may be assumed constant as a good approximation for small changes of the climatic variable. The 'dynamic' mass-balance sensitivity changes as the extent and area-altitude distribution of the glacier or glacierized region evolve. In contrast, the 'static' sensitivity neglects these geometric changes, although it may still vary with, for example, components of the surface energy balance.",
Mass-balance units,IACS-UNESCO,Snow,"The dimension of mass balance is [M] (mass). The dimension of the mass-balance rate is [M T-1] (mass per unit time). When the mass balance is presented per unit area, it is called specific mass balance and its dimension becomes [M L-2], while the dimension of the mass-balance rate becomes [M L-2 T-1]. When water-equivalent units are adopted (see below), the dimension becomes [L3] or [L3T-1], the corresponding specific units being [L] or [L T-1]. The unit for expressing mass or change of mass numerically is the kilogram (kg). When more convenient the petagram (Pg) or gigatonne (Gt; 1 Gt = 1 Pg = 1012 kg) can be substituted. When mass balance is expressed per unit area, its unit is kg m-2. The unit kg m-2 is usually replaced by the millimetre water equivalent, mm w. E. This substitution is convenient because 1 kg of liquid water, of density 1000 kg m-3, has a vertical extent of exactly 1 mm when distributed uniformly over a horizontal area of 1 m2. The units kg m-2 and mm w. E. Are therefore numerically identical. More formally, the metre water equivalent (m w. E.) Is an extension of the SI that is obtained by dividing a particular mass per unit area by the density of water, w: 1 m w. E. = 1000 kg m-2 / w: Because of the risk of confusion with the metre ice equivalent, or with ordinary lengths, it is important that the qualifier 'w. E.' Not be omitted. Mass balances can also be stated in m3 w. E. (1 m3 w. E. = 1 m w. E. Distributed uniformly over 1 m2) or km3 w. E. Note that 1 km3 w. E. Is numerically identical with 1 Gt. For the mass-balance rate, appropriate units are kg a-1 or kg m-2 a-1 (or m3 w. E. A-1 or mm w. E. A-1) when the time span is an integer multiple of 1 year. Over shorter intervals the unit of time should be the second or the day. Mass units (kg or m3 w. E.) Are useful for hydrological and oceanographic purposes, while specific mass units (kg m-2, mm w. E., m w. E.) Are needed when comparing the mass balances of different glaciers and for studying glacier-climate relations. To convert, with sufficient accuracy for many purposes, to the frequently needed sea-level equivalent (SLE), mass balance in kg m-2 is first converted to kg by multiplying by the area of the glacier, and then divided by the product of w and the area of the ocean (362.5  1012 m2). The sign of SLE is opposite to that of glacier mass balance, a loss from the ice being deemed to be an equivalent gain for the ocean.",
Mass-balance year,IACS-UNESCO,Glaciers,"The time span, equal or approximately equal in duration to one calendar year, to which the Annual mass balance in any time system refers. In the stratigraphic system the Annual mass balance is the change of mass during the period between formation of two successive minima in the sequence of Annual cycles of mass growth and decline. These minima are usually reached at different times in successive years, and the duration of the mass-balance year may therefore vary irregularly and substantially in duration from year to year. Point mass balances can be determined unambiguously in the stratigraphic system, but glacier-wide determinations require the assumption that the diachronous character of the summer surface can be neglected. In the fixed-date system the first day of the mass-balance year is always on the same calendar date, which is typically chosen to coincide with the start of the local hydrological year, for example 1 October in the mid-latitudes of the Northern Hemisphere or 1 April in the mid-latitudes of the Northern Hemisphere, or sometimes with the average date of minimum Annual mass. The mass-balance year is 365 (or 366) days long. In the floating-date system the mass-balance year is defined by the calendar dates of the two successive surveys, which may vary from year to year and may or may not be 365 (or 366) days apart.",
Orographic snowline,IACS-UNESCO,Snow,The imaginary line formed by the generalized lower limit of perennial snowpatches on the terrain surface between glaciers at the end of the ablation season. The orographic snowline is so called (originally by Ratzel in 1886) because its altitude is predominantly defined by local topography and exposure.,
Quiescent phase,SwissEdu,Misc,The period in which a surge-type glacier is slow-moving or stagnant. This period is typically decades long in contrast to the surge phase that may last only a few months or years.,
Reaction time,IACS-UNESCO,Glaciers,"The time required for a change in forcing of mass balance to result in an observable response of the geometry, particularly the length, of the glacier. The reaction time is not a physical property of the glacier. Estimates of the reaction time depend on, among other things, the precision of observation and the extent to which the glacier is out of equilibrium. See response time.",
recession,SwissEdu,Glaciers,"The shrinking of the snout (toe) of a glacier following successive years of negative mass balance (q.v.). This is usually evident from the recession of the ice margin on land, or calving in the sea, but also from down-wasting. Also referred to by the term glacier retreat.",
Response time,IACS-UNESCO,Glaciers,"The e-folding time scale for the transition of a glacier, following a step change in mass balance, from one steady state to another. Response times have been formulated for various attributes of the glacier such as volume and length. They can be confused easily with the mass-turnover time; the reaction time; and the growth time. The volumetric response time is the most commonly seen formulation. Here the glacier changes from an initial volume V1 to a later volume V2, and the response time is the time needed for the volume to change by (V2  V1) (1  e-1), where e = 2.71828... Is the base of natural logarithms. The response time is much shorter than the time required to attain volume V2. Indeed, in this formulation the time to attain volume V2 is infinite. The change between state 1 and state 2 is assumed to be 'small'. The response time for volume is somewhat shorter than that for length, that is, for the length to change by (L2  L1) (1  e-1). The response time is an idealization. The essence of the idea is that the glacier 'remembers' its earlier steady state because it adjusts its size and shape by flow. The volume response time is often estimated with an expression due to J",
Retreat,1-NSIDC,Glaciers,When a mountain glacier's terminus doesn't extend as far downvalley as it previously did; occurs when ablation surpasses accumulation.,
Snow accumulation,AMS,Snow,"A measurement of the depth of snow on the ground made either since the snow began falling or since a previous observation. (also called snow depth.)   The total accumulation is equivalent to the total snow depth during a storm, or after any single snowstorm or series of storms. Snow accumulation can vary due to settling and melting and will therefore vary depending on how often it is measured. For example, if new snow is measured every hour during a relatively long duration storm, it is likely that the summed accumulations may exceed a total snow accumulation measured only once at the end of the storm.",
Snow accumulation and ablation model,NOAA Hydro,Snow,"A model which simulates snow pack accumulation, heat exchange at the air-snow interface, areal extent of snow cover, heat storage within the snow pack, liquid water retention, and transmission and heat exchange at the ground-snow interface.",
Snowline,IACS-UNESCO,Snow,"A set of points forming the lower limit of a snow-covered area; on a glacier, the line separating snow surfaces from ice or firn surfaces, and also separating the percolation zone from either the superimposed ice zone or the ablation zone (see also zone). The set of points need not form a continuous curve. The snow-covered area of the glacier may include outliers (isolated patches of snow surrounded by firn or ice) and may exclude inliers (isolated patches of exposed firn or ice). The snowline is usually easy to see, because the snow above it is brighter than the firn or ice below it. It may therefore be mapped by analysis of suitable imagery. When, and only when, there is no superimposed ice, the snowline coincides with the equilibrium line. Unless qualified by a different adjective, references to the snowline are understood to refer to the Annual snowline. It is common for 'snowline' to be used as an abbreviation of 'average altitude of the snowline'.",
"snowline, Annual ",IACS-UNESCO,Snow,"The snowline at the end of the ablation season, usually representing the highest position of the snowline during the mass-balance year; end-of-summer snowline is a synonym. The snowline of any given balance year is established at the end of that balance year. If this newly established snowline is lower than the previous year's firn line, it also becomes the new firn line.",
"snowline, End-of-summer ",IACS-UNESCO,Snow,A synonym of Annual snowline.,
"snowline, Regional",IACS-UNESCO,Snow,See article Regional snowline under Snowline.,
"snowline, Transient ",IACS-UNESCO,Snow,"The snowline at any instant, particularly during the ablation season.",
Steady state,IACS-UNESCO,Glaciers,"A state of the glacier in which over many years the thickness at the end of each mass-balance year remains unchanged, that is, dh/dt = 0 at every point; see equilibrium, Balanced-budget. It follows from the definition that the glacier-wide mass balance, including frontal ablation, is zero, because the glacier must flow at just the rate required to eliminate thickness changes due to the climatic-basal mass balance. Steady state is a valuable idealization, and may be realized roughly when the climate is constant, or changes only slowly, over periods considerably longer than the response time of the glacier.",
Summer season,IACS-UNESCO,Glaciers,"The time span from the end of the winter season to the end of the mass-balance year. The length of the summer season may vary greatly from year to year. The term is best suited to glaciers of winter-accumulation type. In the stratigraphic system the summer season starts when the glacier has attained maximum mass and ends when the glacier has attained minimum mass. In the floating-date system and the fixed-date system, the mass is not necessarily at its Annual maximum or minimum when the summer season starts or ends.",
Summer surface,IACS-UNESCO,Snow,"The surface formed at the time of minimum Annual mass at each point on the glacier, marking (in the stratigraphic system) the end of one mass-balance year and the start of the next. In general the summer surface is diachronous. For example, when the higher reaches of a glacier start to gain mass, the lower parts may still be ablating. The summer surface is the surface on which the first snow of the new balance year falls. It is easily detectable when it consists of glacier ice, which now includes superimposed ice added during the previous balance year. In the firn area it is recognizable as a well-marked crust, that is, a thin, relatively strong layer with a density near that of ice, and sometimes also (or instead) as a layer of depth hoar at the base of the current year's accumulation. The crust typically originates by recrystallization of the surface snow in late summer to form glaze. It may also be marked by an accumulation of sediment or wind-blown dust. It can be difficult to detect when melting and snowfall alternate during the transition between the ablation season and the accumulation season. In some mass-balance programmes the summer surface is 'labelled' in the vicinity of stakes with a distinctive material, such as sawdust, during a visit late in the ablation season.",
Temperature-index model,IACS-UNESCO,Snow,"A model of mass balance in which surface ablation is estimated as a function of temperature, usually near-surface air temperature measured either on the glacier or at the nearest weather station; temperatures may also be taken from upper-air soundings, meteorological reanalyses or climate models. A leading form of temperature-index model is the positive degree-day model, in which a degree-day factor represents the dependence of ablation on temperature. Temperature-index models are valuable because they require only simple input variables and perform well when suitably calibrated, for example by allowing for the differences in reflectivity between surfaces of ice and snow by choosing a smaller degree-day factor for snow than for ice.",
Terrestrial calving ,GLIMS Manual,Glaciers,"Dry calving; Ice front breaks off over cliffs or rock steps of different height; This class has been introduced to facilitate a differentiation between calving into water (lakes, sea) and dry calving. ",
Thinning flux,IACS-UNESCO,Glaciers,"The mass flux through a vertical cross section corresponding to the decrease of mass upglacier from the section (that is, the integral of density over the thickness of the glacier and the upglacier area).",
Time system,IACS-UNESCO,Glaciers,"A protocol for identifying stages in the evolution of the mass balance of the glacier over the mass-balance year, making it possible to quantify the mass change during each stage objectively. Four time systems are recognized. Figure 14 illustrates the differences between the original two.",
Topographic method,IACS-UNESCO,Misc,"Like cartographic method, a synonym of geodetic method in the context of measurement of mass balance.",
Total exchange,IACS-UNESCO,Misc,"A term formerly used (Anonymous1969; Appendix: A) for the difference between Annual accumulation and Annual ablation, ca minus aa, in the stratigraphic system. Note that ablation is defined to be negative.",
Volume balance,IACS-UNESCO,Glaciers,"The change in the volume of a glacier, or part of a glacier, over a stated span of time. A volume balance contains no information about the density of the matter within the volume gained or lost. It is meaningful in itself, but is often an intermediate product in the determination of mass balance by geodetic methods. Balances expressed in ice-equivalent or water-equivalent units, such as m3 w. E. A-1, are not volume balances but mass balances.",
Volumetric calving flux,IACS-UNESCO,Glaciers,The calving flux divided by average glacier density (dimension [L3 T-1]).,
Wet-snow line,IACS-UNESCO,Snow,"The set of points on a glacier separating the upper percolation zone, at higher elevation, from the lower percolation zone or wet-snow zone. The wet-snow line has no surface expression, but is significant as the upper limit of the region where internal accumulation may happen.",
Wet-snow zone,IACS-UNESCO,Snow,The part of the accumulation zone of a cold glacier or polythermal glacier where all of the snow reaches the melting point during the ablation season. The wet-snow zone is sometimes referred to as the lower percolation zone.,
Wind ablation mass loss by wind scour,IACS-UNESCO,Snow,"Snow lost to wind ablation on one part of the glacier surface is often re-deposited in more sheltered parts of the glacier surface, making no contribution to glacier-wide ablation.",
Wind scour,IACS-UNESCO,Snow,"The entrainment and removal of surface snow by the wind. The resulting windborne snow may be re-deposited elsewhere in more sheltered parts of the glacier surface, or may be transported off the glacier.",
Windborne snow,IACS-UNESCO,Snow,"Blowing snow or drifting snow. Windborne snow may be redistributed from one part of the glacier to another. It contributes to the glacier-wide mass balance only when it is carried across a lateral boundary of the glacier, either inward or outward, or when it suffers sublimation instead of being redeposited.",
Winter season,IACS-UNESCO,Glaciers,"The time span from the start of the mass-balance year to the time of maximum glacier mass. The term is best suited to glaciers of winter-accumulation type. In the stratigraphic system the winter season ends when the glacier has attained maximum mass. In the floating-date system and the fixed-date system, the mass is not necessarily at its Annual minimum or maximum when the winter season starts or ends.",
Zone,IACS-UNESCO,Glaciers,"A part of the glacier, and especially of the glacier surface, distinguished from other parts by the prominence or predominance of a particular mass-balance process. The temperate glacier of Figure 15 and the cold glacier of Figure 16 are end members of a continuum. Many glaciers have attributes, including patterns of zonation, that are intermediate between these end members. The conventional system of zones in the English-language literature diverges in part from that in Russian-language work (Shumskiy 1955). For the latter, which is based on the relative magnitudes of accumulation, melting and cold content.",
